"Time","chocolate"
"2026-03-19T00:16:00Z",60
"2026-03-19T00:32:00Z",63
"2026-03-19T00:48:00Z",66
"2026-03-19T01:04:00Z",59
"2026-03-19T01:20:00Z",68
"2026-03-19T01:36:00Z",54
"2026-03-19T01:52:00Z",65
"2026-03-19T02:08:00Z",64
"2026-03-19T02:24:00Z",49
"2026-03-19T02:40:00Z",41
"2026-03-19T02:56:00Z",61
"2026-03-19T03:12:00Z",52
"2026-03-19T03:28:00Z",53
"2026-03-19T03:44:00Z",48
"2026-03-19T04:00:00Z",45
"2026-03-19T04:16:00Z",59
"2026-03-19T04:32:00Z",56
"2026-03-19T04:48:00Z",48
"2026-03-19T05:04:00Z",44
"2026-03-19T05:20:00Z",53
"2026-03-19T05:36:00Z",41
"2026-03-19T05:52:00Z",39
"2026-03-19T06:08:00Z",52
"2026-03-19T06:24:00Z",44
"2026-03-19T06:40:00Z",51
"2026-03-19T06:56:00Z",50
"2026-03-19T07:12:00Z",54
"2026-03-19T07:28:00Z",53
"2026-03-19T07:44:00Z",54
"2026-03-19T08:00:00Z",51
"2026-03-19T08:16:00Z",52
"2026-03-19T08:32:00Z",46
"2026-03-19T08:48:00Z",58
"2026-03-19T09:04:00Z",53
"2026-03-19T09:20:00Z",57
"2026-03-19T09:36:00Z",58
"2026-03-19T09:52:00Z",58
"2026-03-19T10:08:00Z",62
"2026-03-19T10:24:00Z",61
"2026-03-19T10:40:00Z",62
"2026-03-19T10:56:00Z",63
"2026-03-19T11:12:00Z",69
"2026-03-19T11:28:00Z",68
"2026-03-19T11:44:00Z",61
"2026-03-19T12:00:00Z",70
"2026-03-19T12:16:00Z",71
"2026-03-19T12:32:00Z",66
"2026-03-19T12:48:00Z",69
"2026-03-19T13:04:00Z",70
"2026-03-19T13:20:00Z",78
"2026-03-19T13:36:00Z",75
"2026-03-19T13:52:00Z",72
"2026-03-19T14:08:00Z",72
"2026-03-19T14:24:00Z",77
"2026-03-19T14:40:00Z",74
"2026-03-19T14:56:00Z",78
"2026-03-19T15:12:00Z",73
"2026-03-19T15:28:00Z",78
"2026-03-19T15:44:00Z",75
"2026-03-19T16:00:00Z",75
"2026-03-19T16:16:00Z",80
"2026-03-19T16:32:00Z",77
"2026-03-19T16:48:00Z",75
"2026-03-19T17:04:00Z",80
"2026-03-19T17:20:00Z",77
"2026-03-19T17:36:00Z",82
"2026-03-19T17:52:00Z",83
"2026-03-19T18:08:00Z",84
"2026-03-19T18:24:00Z",90
"2026-03-19T18:40:00Z",87
"2026-03-19T18:56:00Z",83
"2026-03-19T19:12:00Z",92
"2026-03-19T19:28:00Z",99
"2026-03-19T19:44:00Z",100
"2026-03-19T20:00:00Z",94
"2026-03-19T20:16:00Z",94
"2026-03-19T20:32:00Z",93
"2026-03-19T20:48:00Z",95
"2026-03-19T21:04:00Z",88
"2026-03-19T21:20:00Z",90
"2026-03-19T21:36:00Z",82
"2026-03-19T21:52:00Z",76
"2026-03-19T22:08:00Z",83
"2026-03-19T22:24:00Z",74
"2026-03-19T22:40:00Z",72
"2026-03-19T22:56:00Z",65
"2026-03-19T23:12:00Z",67
"2026-03-19T23:28:00Z",66
"2026-03-19T23:44:00Z",75
"2026-03-20T00:00:00Z",82
"2026-03-20T00:16:00Z",75
